manufacturer,model,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Mitsubishi,i-MiEV,i-MiEV,49,25.11.2017,147615,25.3,3.5,Electricity,Summer tires,1,0,1,Normal,13.83,0,0,,-1.17,"Noch 12 Balken, 60km Reichweite, Mainova Ökostrom Novanatur, 2,25h geladen, Ladeende 5,5°C, RRW 86km, Batterie 11-15°C, 13,0°C, 98,0%"
Mitsubishi,i-MiEV,i-MiEV,49,24.11.2017,147590,16.3,2.4,Electricity,Summer tires,1,0,1,Normal,13.58,0,0,,-1.42,"Noch 14 Balken, 76km Reichweite, Mainova Ökostrom Novanatur, 2,5h geladen, Ladeende 9,1°C, RRW 95km, Batterie 14-19°C, 16,5°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,24.11.2017,147574,34.5,4.5,Electricity,Summer tires,1,0,1,Normal,13.58,0,0,,-1.42,"Noch 10 Balken, 53km Reichweite, Entega Ökostrom, 2h geladen, Ladeende 10,5°C, RRW 89km, 16B"
Mitsubishi,i-MiEV,i-MiEV,49,23.11.2017,147539,50.9,6.47,Electricity,Summer tires,1,0,1,Normal,12.71,0,0,,-2.289999999999999,"Noch 7 Balken, 47km Reichweite, Mainova Ökostrom Novanatur, 4h geladen, Ladeende 12,2°C, RRW 105km, Batterie 16-20°C, 17,3°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,23.11.2017,147488,49.2,7.1,Electricity,Summer tires,1,0,1,Normal,14.43,0,0,,-0.5700000000000003,"Noch 6 Balken, 37km Reichweite, Batterie 11-15°C, 13,1°C, 42,5%, Mainova Ökostrom Novanatur, 5,75h geladen, Ladeende 1,4°C, RRW 101km, Batterie 10-15°C, 12,7°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,22.11.2017,147439,51.3,7.2,Electricity,Summer tires,1,0,1,Normal,14.04,0,0,,-0.9600000000000009,"Noch 6B, 34km Reichweite, Batterie 10-13°C, 11,5°C, 41,0%, Solarstrom P&amp;C, 6h geladen, Ladeende 8,2°C, RRW 96km, Batterie 12-15°C, 13,4°C, 100%, 24.2. 26. 27. 28.2. 1.3. 2.3. 20.5. 22. 23. 28. 30.5. 6.9. 17. 18. 20.9. 2.10. 9. 16.10. 6.11. 14. 15. 21.11."
Mitsubishi,i-MiEV,i-MiEV,49,20.11.2017,147388,49.4,7.2,Electricity,Summer tires,1,0,1,Normal,14.57,0,0,,-0.4299999999999997,"Noch 6 Balken, 35km Reichweite, Mainova Ökostrom Novanatur, 4,5h geladen, Ladeende 6,0°C, RRW 95km, Batterie 9-13°C, 11,1°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,18.11.2017,147338,52.7,7.51,Electricity,Summer tires,1,0,1,Normal,14.25,0,0,,-0.75,"Noch 6 Balken, 33km Reichweite, Mainova Ökostrom Novanatur, 4,75h geladen, Ladeende 4,7°C, RRW 88km, Batterie 10-15°C, 12,5°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,18.11.2017,147285,48.7,6.89,Electricity,Summer tires,1,0,1,Normal,14.15,0,0,,-0.8499999999999996,"Noch 7 Balken, 40km Reichweite, Mainova Ökostrom Novanatur, 6,5h geladen, Ladeende 5,4°C, RRW 97km, Batterie 10-13°C, 11,3°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,16.11.2017,147237,48.8,6.37,Electricity,Summer tires,1,0,1,Normal,13.05,0,0,,-1.9499999999999993,"Noch 8 Balken, 47km Reichweite, Mainova Ökostrom Novanatur, 4,75h geladen, Ladeende 3,4°C, RRW 105km, Batterie 8-12°C, 10,0°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,16.11.2017,147188,52.7,6.9,Electricity,Summer tires,1,0,1,Normal,13.09,0,0,,-1.9100000000000001,"Noch 7B, 44km Reichweite, Batterie 8-11°C, 9,4°C, 44,5%, Solarstrom P&amp;C, 3,5h geladen, Ladeende 6,1°C, RRW 109km, Batterie 11-17°C, 12,8°C, 100%, 24.2. 26. 27. 28.2. 1.3. 2.3. 20.5. 22. 23. 28. 30.5. 6.9. 17. 18. 20.9. 2.10. 9. 16.10. 6.11. 14. 15.11."
Mitsubishi,i-MiEV,i-MiEV,49,14.11.2017,147135,50.8,7.36,Electricity,Summer tires,1,0,1,Normal,14.49,0,0,,-0.5099999999999998,"Noch 6 Balken, 40km Reichweite, Mainova Ökostrom Novanatur, 4,75h geladen, Ladeende 4,9°C, RRW 104km, Batterie 10-15°C, 12,2°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,14.11.2017,147084,49.7,8.2,Electricity,Summer tires,1,0,1,Normal,13.75,0,0,,-1.25,"Noch 5B, 32km Reichweite, Batterie 7-10°C, 9,0°C, 37,5%, Solarstrom P&amp;C, 5h geladen, Ladeende 0,3°C, RRW 106km, Batterie 8-13°C, 10,8°C, 100%, 24.2. 26. 27. 28.2. 1.3. 2.3. 20.5. 22. 23. 28. 30.5. 6.9. 17. 18. 20.9. 2.10. 9. 16.10. 6.11.14.11."
Mitsubishi,i-MiEV,i-MiEV,49,11.11.2017,147034,31.0,2.9,Electricity,Summer tires,1,0,1,Normal,13.75,0,0,,-1.25,"Noch 10 Balken, 50km Reichweite, Batterie 8-10°C, 9,2°C, 63,0%,  Mainova Ökostrom Novanatur, 3,5h geladen, Abbruch nach ca. einer Stunde, Ladeende 4,3°C, RRW 71km, Batterie 8-11°C, 9,5°C, 86,0%, 14B"
Mitsubishi,i-MiEV,i-MiEV,49,10.11.2017,147003,17.7,3.2,Electricity,Summer tires,1,0,1,Normal,13.45,0,0,,-1.5500000000000007,"Noch 12 Balken, 74km Reichweite, Mainova Ökostrom Novanatur, 2h geladen, Ladeende 4,7°C, RRW 101km, Batterie 11-17°C, 13,1°C, 99,0%"
Mitsubishi,i-MiEV,i-MiEV,49,10.11.2017,146986,35.1,3.9,Electricity,Summer tires,1,0,1,Normal,13.45,0,0,,-1.5500000000000007,"55km Reichweite, Entega Ökostrom, 1h30m geladen, Ladeende 7,9°C, RRW 86km, 15B"
