trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation
20.0,3.95,Summer tires,1,0,0,Normal,16.5,0,1,20.0,-0.3
74.0,14.51,Summer tires,0,1,0,Normal,15.2,0,1,85.0,-1.6
17.0,13.72,Summer tires,0,1,0,Moderate,12.1,0,1,62.0,-4.7
82.0,0.33,Summer tires,0,1,0,Moderate,12.1,0,1,64.0,-4.7
32.0,7.3,Summer tires,1,1,1,Moderate,13.9,0,1,22.0,-2.9
102.0,9.55,Summer tires,0,1,0,Moderate,13.8,0,1,64.0,-3.0
71.0,14.13,Summer tires,0,1,0,Moderate,13.9,0,1,75.0,-2.9
72.0,9.58,Summer tires,0,1,0,Moderate,13.8,0,1,66.0,-3.0
34.0,9.49,Summer tires,0,1,0,Moderate,15.7,0,1,64.0,-1.1
75.0,3.76,Summer tires,0,1,0,Normal,14.1,0,1,52.0,-2.7
13.0,4.9,Summer tires,1,0,0,Normal,14.3,0,1,36.0,-2.5
73.0,10.06,Summer tires,0,1,0,Normal,15.5,0,1,61.0,-1.3
35.0,5.59,Summer tires,0,1,0,Normal,14.6,0,1,59.0,-2.2
72.0,11.34,Summer tires,0,1,0,Normal,15.5,0,0,70.0,-1.3
89.0,8.95,Summer tires,0,1,1,Normal,13.8,0,1,47.0,-3.0
32.0,4.38,Summer tires,0,1,0,Normal,14.3,0,0,46.0,-2.5
72.0,7.48,Summer tires,0,1,0,Normal,13.0,0,0,61.0,-3.8
72.0,8.67,Summer tires,0,1,0,Normal,14.4,0,1,75.0,-2.4
86.0,10.08,Summer tires,0,1,1,Normal,14.7,0,1,59.0,-2.1
111.0,13.44,Summer tires,0,1,0,Normal,13.4,0,0,64.0,-3.4
103.0,14.22,Summer tires,0,1,0,Normal,12.5,0,0,68.0,-4.3
72.0,14.19,Summer tires,0,1,0,Normal,13.3,0,0,76.0,-3.5
103.0,9.66,Summer tires,0,1,0,Moderate,12.5,0,1,65.0,-4.3
73.0,12.72,Summer tires,0,1,0,Normal,13.6,0,0,82.0,-3.2
100.0,10.17,Summer tires,0,1,0,Normal,13.9,0,1,74.0,-2.9
72.0,13.22,Summer tires,0,1,0,Normal,12.9,0,0,83.0,-3.9
72.0,10.33,Summer tires,0,1,0,Normal,13.5,0,1,56.0,-3.3
104.0,9.54,Summer tires,0,1,0,Normal,13.4,0,1,79.0,-3.4
98.0,12.78,Summer tires,0,1,0,Normal,13.4,0,0,74.0,-3.4
19.0,11.16,Summer tires,0,1,0,Normal,14.2,0,0,56.0,-2.6
71.0,5.12,Summer tires,0,1,0,Normal,12.7,0,0,67.0,-4.1
100.0,10.51,Summer tires,0,1,0,Normal,13.1,0,1,79.0,-3.7
71.0,12.33,Summer tires,0,1,0,Normal,13.1,0,0,67.0,-3.7
101.0,10.86,Summer tires,0,1,0,Normal,13.8,0,1,78.0,-3.0
75.0,15.69,Summer tires,0,1,0,Normal,14.0,0,0,58.0,-2.8
102.0,10.95,Summer tires,0,1,0,Normal,13.6,0,0,77.0,-3.2
73.0,13.24,Summer tires,0,1,0,Normal,13.9,0,0,78.0,-2.9
100.0,10.24,Summer tires,0,1,0,Moderate,13.1,0,1,72.0,-3.7
71.0,13.67,Summer tires,0,1,0,Normal,14.2,0,0,85.0,-2.6
71.0,9.66,Summer tires,0,1,0,Moderate,14.6,0,1,62.0,-2.2
34.0,12.47,Summer tires,0,1,0,Normal,15.0,0,1,64.0,-1.8
69.0,4.97,Summer tires,0,1,0,Normal,14.8,0,1,86.0,-2.0
125.0,12.83,Summer tires,0,0,1,Moderate,12.2,0,1,53.0,-4.6
111.0,11.87,Summer tires,0,0,1,Moderate,12.2,0,0,56.0,-4.6
83.0,10.71,Summer tires,0,1,0,Moderate,12.4,0,0,66.0,-4.4
85.0,10.37,Summer tires,0,0,1,Moderate,13.2,0,0,53.0,-3.6
17.0,6.35,Summer tires,0,1,0,Moderate,12.5,0,0,53.0,-4.3
74.0,6.38,Summer tires,0,1,0,Normal,13.4,0,0,74.0,-3.4
103.0,11.35,Summer tires,0,1,0,Moderate,12.4,0,0,70.0,-4.4
72.0,13.2,Summer tires,0,1,0,Normal,14.0,0,0,76.0,-2.8
72.0,8.93,Summer tires,0,1,0,Normal,14.2,0,1,77.0,-2.6
49.0,7.26,Summer tires,0,1,1,Normal,13.9,0,0,68.0,-2.9
22.0,12.96,Summer tires,1,0,0,Normal,12.2,0,0,32.0,-4.6
100.0,2.79,Summer tires,0,1,1,Normal,14.6,0,0,53.0,-2.2
16.0,13.51,Summer tires,0,1,0,Fast,17.2,0,0,71.0,0.4
111.0,4.8,Summer tires,0,1,0,Normal,12.8,0,0,89.0,-4.0
98.0,13.0,Summer tires,0,1,0,Normal,12.5,0,0,64.0,-4.3
29.0,9.39,Summer tires,0,1,0,Normal,13.2,0,0,100.0,-3.6
107.0,6.24,Summer tires,0,1,1,Normal,13.0,0,0,78.0,-3.8
63.0,13.98,Summer tires,0,1,1,Normal,12.4,0,0,67.0,-4.4
18.0,2.23,Summer tires,0,0,1,Moderate,17.0,0,0,48.0,0.2
71.0,3.75,Summer tires,0,0,1,Moderate,12.8,0,0,75.0,-4.0
75.0,9.82,Summer tires,0,0,1,Moderate,13.1,0,0,41.0,-3.7
32.0,9.78,Summer tires,0,1,0,Moderate,11.4,0,0,65.0,-5.4
118.0,3.41,Summer tires,0,1,0,Moderate,12.1,0,0,67.0,-4.7
95.0,13.76,Summer tires,0,0,1,Moderate,12.2,0,0,59.0,-4.6
63.0,13.76,Summer tires,0,1,0,Normal,14.5,0,0,96.0,-2.3
99.0,9.7,Summer tires,0,1,0,Normal,13.1,0,0,78.0,-3.7
37.0,9.2,Summer tires,0,1,0,Moderate,13.6,0,0,56.0,-3.2
71.0,7.62,Summer tires,0,1,0,Moderate,11.8,0,0,77.0,-5.0
101.0,14.51,Summer tires,0,1,0,Moderate,13.0,0,0,69.0,-3.8
72.0,13.99,Summer tires,0,1,0,Moderate,12.0,0,0,69.0,-4.8
100.0,11.35,Summer tires,0,1,0,Moderate,13.3,0,0,70.0,-3.5
72.0,9.9,Summer tires,0,1,0,Moderate,13.1,0,0,67.0,-3.7
92.0,10.42,Summer tires,0,1,0,Moderate,14.0,0,1,50.0,-2.8
87.0,10.87,Summer tires,0,1,0,Normal,12.7,0,0,62.0,-4.1
74.0,12.09,Summer tires,0,1,0,Normal,13.5,0,0,80.0,-3.3
