trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation
86.0,9.4,Summer tires,0,1,0,Moderate,13.7,0,1,64.0,-3.1
35.0,17.93,Summer tires,0,1,0,Moderate,11.4,0,1,67.0,-5.4
124.0,6.09,Summer tires,0,1,0,Moderate,13.0,0,1,69.0,-3.8
34.0,16.38,Summer tires,0,1,0,Moderate,11.3,0,1,60.0,-5.5
126.0,6.16,Summer tires,0,1,0,Moderate,12.6,0,1,73.0,-4.2
87.0,18.39,Summer tires,0,1,0,Moderate,12.2,0,1,67.0,-4.6
80.0,4.0,Summer tires,0,1,0,Moderate,11.8,0,0,74.0,-5.0
96.0,19.32,Summer tires,0,1,1,Normal,12.5,0,0,64.0,-4.3
81.0,6.86,Summer tires,0,1,0,Normal,13.3,0,0,79.0,-3.5
9.0,3.8,Summer tires,1,0,0,Normal,10.2,0,0,27.0,-6.6
85.0,13.03,Summer tires,0,1,1,Normal,12.5,0,0,62.0,-4.3
56.0,7.0,Summer tires,1,0,1,Normal,13.8,0,0,37.0,-3.0
104.0,13.2,Summer tires,0,1,0,Normal,13.3,0,0,57.0,-3.5
2.0,0.6,Summer tires,1,0,0,Normal,14.25,0,0,22.983516483516482,-2.55
85.0,11.8,Summer tires,0,1,0,Normal,14.5,0,0,70.0,-2.3
7.0,4.9,Summer tires,1,0,0,Moderate,14.1,0,0,17.0,-2.7
83.0,13.5,Summer tires,0,1,0,Moderate,13.9,0,1,62.0,-2.9
83.0,8.0,Summer tires,0,1,0,Moderate,13.2,0,1,64.0,-3.6
41.0,18.7,Summer tires,0,1,1,Normal,14.1,0,0,54.0,-2.7
45.0,3.32,Summer tires,0,1,0,Moderate,14.2,0,0,67.0,-2.6
81.0,3.8,Summer tires,0,1,0,Moderate,12.0,0,0,77.0,-4.8
81.0,16.23,Summer tires,0,1,0,Moderate,13.1,0,1,61.0,-3.7
82.0,10.0,Summer tires,0,1,0,Moderate,14.5,0,1,75.0,-2.3
80.0,15.57,Summer tires,0,1,0,Moderate,13.7,0,1,65.0,-3.1
82.0,9.4,Summer tires,0,1,0,Moderate,13.3,0,1,73.0,-3.5
6.0,3.83,Summer tires,0,1,1,Moderate,17.8,0,1,19.0,1.0
84.0,12.73,Summer tires,0,1,1,Moderate,13.9,0,1,57.0,-2.9
38.0,17.64,Summer tires,0,0,1,Moderate,15.9,0,1,53.0,-0.9
37.0,2.03,Summer tires,0,0,1,Moderate,13.8,0,1,51.0,-3.0
81.0,5.94,Summer tires,0,1,0,Moderate,13.5,0,1,72.0,-3.3
86.0,16.58,Summer tires,0,1,0,Moderate,14.7,0,1,63.0,-2.1
81.0,11.8,Summer tires,0,1,0,Moderate,13.6,0,1,69.0,-3.2
80.0,15.43,Summer tires,1,1,0,Moderate,14.2,0,1,51.0,-2.6
82.0,13.74,Summer tires,0,1,1,Moderate,13.2,0,1,68.0,-3.6
86.0,15.15,Summer tires,0,1,1,Moderate,12.8,0,1,64.0,-4.0
88.0,6.42,Summer tires,1,1,0,Moderate,12.8,0,1,49.0,-4.0
34.0,12.14,Summer tires,0,1,0,Moderate,14.2,0,1,66.0,-2.6
91.0,11.49,Summer tires,0,1,0,Moderate,14.1,0,0,76.0,-2.7
85.0,10.29,Summer tires,0,1,0,Normal,14.6,0,0,65.0,-2.2
2.0,7.23,Summer tires,1,0,0,Moderate,14.5,0,0,17.0,-2.3
2.0,5.7,Summer tires,1,0,0,Moderate,15.4,0,0,21.0,-1.4
1.0,0.69,Summer tires,1,0,0,Moderate,19.4,0,0,12.0,2.6
23.0,3.72,Summer tires,1,0,1,Moderate,13.5,0,0,48.0,-3.3
105.0,1.72,Summer tires,1,1,1,Moderate,12.6,0,0,51.0,-4.2
34.0,19.98,Summer tires,0,1,0,Moderate,11.2,0,0,70.0,-5.6
127.0,2.24,Summer tires,0,1,0,Moderate,11.8,0,0,66.0,-5.0
40.0,19.19,Summer tires,0,1,1,Moderate,11.7,0,0,51.0,-5.1
129.0,5.56,Summer tires,0,1,0,Moderate,12.8,0,0,78.0,-4.0
79.0,18.76,Summer tires,0,1,0,Moderate,12.7,0,1,65.0,-4.1
81.0,5.72,Summer tires,0,1,0,Moderate,12.4,0,1,73.0,-4.4
80.0,12.38,Summer tires,0,1,0,Moderate,12.7,0,1,73.0,-4.1
86.0,13.31,Summer tires,0,1,0,Moderate,13.4,0,1,60.0,-3.4
94.0,15.67,Summer tires,0,1,1,Moderate,12.0,0,1,67.0,-4.8
1.0,7.27,Summer tires,0,1,0,Moderate,14.2,0,0,22.0,-2.6
84.0,6.08,Summer tires,0,1,0,Moderate,13.1,0,0,79.0,-3.7
13.0,9.29,Summer tires,1,0,1,Normal,13.3,0,0,40.0,-3.5
85.0,6.06,Summer tires,0,1,0,Normal,14.2,0,1,80.0,-2.6
45.0,7.58,Summer tires,0,1,0,Moderate,12.3,0,0,45.0,-4.5
34.0,1.0,Summer tires,0,1,0,Moderate,12.9,0,0,59.0,-3.9
84.0,10.81,Summer tires,0,1,0,Moderate,12.4,0,0,65.0,-4.4
34.0,16.82,Summer tires,0,1,0,Moderate,12.0,0,1,34.0,-4.8
128.0,7.3,Summer tires,0,1,0,Moderate,12.6,0,0,68.0,-4.2
34.0,15.44,Summer tires,0,1,0,Moderate,11.3,0,0,69.0,-5.5
128.0,6.7,Summer tires,0,1,0,Moderate,12.3,0,0,76.0,-4.5
34.0,14.19,Summer tires,0,1,0,Moderate,12.0,0,1,47.0,-4.8
126.0,9.32,Summer tires,0,1,0,Moderate,13.0,0,0,75.0,-3.8
35.0,17.69,Summer tires,0,1,0,Moderate,12.0,1,1,57.0,-4.8
48.0,3.23,Summer tires,0,1,0,Moderate,14.1,1,1,77.0,-2.7
96.0,6.46,Summer tires,0,1,1,Moderate,12.7,1,1,67.0,-4.1
94.0,15.54,Summer tires,0,1,1,Moderate,13.3,1,1,72.0,-3.5
75.0,11.03,Summer tires,0,1,0,Moderate,13.0,1,1,60.0,-3.8
17.0,2.97,Summer tires,0,1,0,Fast,15.1,1,1,27.0,-1.7
81.0,14.22,Summer tires,0,1,0,Fast,12.4,0,0,77.0,-4.4
2.0,7.95,Summer tires,1,0,0,Fast,15.0,0,1,16.0,-1.8
34.0,7.27,Summer tires,0,1,0,Fast,12.0,0,0,71.0,-4.8
126.0,4.11,Summer tires,0,1,0,Fast,12.2,0,0,72.0,-4.6
34.0,17.94,Summer tires,0,1,0,Fast,13.2,0,0,58.0,-3.6
126.0,6.62,Summer tires,0,1,0,Fast,12.7,0,0,75.0,-4.1
4.0,10.8,Summer tires,1,0,0,Fast,15.9,0,0,19.0,-0.9
36.0,8.16,Summer tires,0,1,0,Moderate,14.7,0,0,34.0,-2.1
128.0,6.87,Summer tires,0,1,0,Moderate,13.5,0,0,72.0,-3.3
35.0,11.54,Summer tires,0,1,0,Moderate,11.6,0,0,56.0,-5.2
90.0,11.1,Summer tires,0,1,0,Moderate,12.4,0,0,81.0,-4.4
123.0,11.34,Summer tires,0,1,0,Moderate,12.6,0,0,73.0,-4.2
82.0,19.37,Summer tires,0,1,0,Moderate,14.2,0,0,80.0,-2.6
67.0,9.18,Summer tires,1,0,1,Moderate,12.7,0,0,54.0,-4.1
59.0,3.71,Summer tires,1,0,1,Moderate,13.0,0,0,51.0,-3.8
105.0,15.81,Summer tires,1,0,1,Moderate,12.6,0,0,50.0,-4.2
86.0,12.44,Summer tires,0,1,0,Moderate,13.3,0,0,71.0,-3.5
1.0,1.5,Summer tires,0,1,0,Moderate,14.55,0,0,64.94872262773723,-2.25
62.0,5.22,Summer tires,0,1,0,Moderate,14.0,0,0,55.0,-2.8
5.0,0.75,Summer tires,0,1,0,Moderate,15.0,0,0,64.94872262773724,-1.8
45.0,9.0,Summer tires,0,1,0,Moderate,12.6,0,0,45.0,-4.2
48.0,13.53,Summer tires,0,1,0,Moderate,15.4,0,0,68.0,-1.4
45.0,2.1,Summer tires,0,1,0,Moderate,17.7,0,0,97.0,0.9
36.0,15.31,Summer tires,0,1,0,Moderate,13.5,0,0,58.0,-3.3
34.0,4.3,Summer tires,0,1,0,Moderate,13.3,0,0,59.0,-3.5
129.0,5.89,Summer tires,0,1,0,Moderate,12.9,0,0,65.0,-3.9
40.0,10.2,Summer tires,1,1,0,Moderate,11.3,0,0,42.0,-5.5
44.0,11.81,Summer tires,0,1,0,Moderate,14.5,0,0,77.0,-2.3
84.0,10.53,Summer tires,0,1,0,Moderate,10.8,0,0,72.0,-6.0
64.0,2.65,Summer tires,0,1,0,Moderate,11.3,0,0,46.0,-5.5
47.0,13.51,Summer tires,0,1,0,Moderate,12.7,0,0,70.0,-4.1
46.0,1.55,Summer tires,0,1,0,Moderate,12.7,0,0,59.0,-4.1
83.0,8.35,Summer tires,0,1,0,Moderate,11.5,0,0,45.0,-5.3
46.0,8.76,Summer tires,0,1,0,Moderate,13.6,0,0,77.0,-3.2
91.0,6.53,Summer tires,0,0,1,Moderate,12.0,0,0,51.0,-4.8
95.0,16.27,Summer tires,0,1,1,Moderate,12.2,0,0,58.0,-4.6
69.0,8.5,Summer tires,0,1,1,Moderate,13.3,0,0,84.0,-3.5
12.0,11.68,Summer tires,1,0,1,Moderate,11.4,0,0,44.0,-5.4
76.0,2.34,Summer tires,0,1,1,Moderate,12.9,0,0,80.0,-3.9
119.0,10.26,Summer tires,0,1,1,Moderate,12.6,0,0,65.0,-4.2
33.0,8.91,Summer tires,0,0,1,Moderate,12.4,0,0,43.0,-4.4
36.0,2.91,Summer tires,0,0,1,Moderate,12.3,0,0,48.0,-4.5
18.0,2.64,Summer tires,0,0,1,Moderate,13.6,0,0,31.0,-3.2
47.0,6.53,Summer tires,0,0,1,Moderate,13.2,0,0,42.0,-3.6
14.0,1.62,Summer tires,0,0,1,Moderate,13.2,0,0,42.0,-3.6
11.0,2.43,Summer tires,0,0,1,Moderate,18.71,0,0,52.375,1.91
109.0,9.99,Summer tires,0,1,0,Moderate,12.2,0,0,51.0,-4.6
82.0,11.35,Summer tires,0,1,1,Moderate,11.6,0,0,62.0,-5.2
57.0,13.13,Summer tires,0,1,0,Moderate,13.3,0,0,69.0,-3.5
61.0,4.96,Summer tires,0,1,0,Moderate,12.8,0,0,69.0,-4.0
71.0,9.91,Summer tires,0,1,1,Moderate,12.3,0,0,66.0,-4.5
82.0,10.44,Summer tires,0,1,1,Moderate,13.0,0,0,85.0,-3.8
82.0,7.87,Summer tires,1,1,0,Moderate,11.6,1,0,42.0,-5.2
4.0,3.46,Summer tires,1,1,0,Moderate,13.1,1,0,15.0,-3.7
53.0,4.52,Summer tires,1,1,0,Moderate,12.1,1,0,47.0,-4.7
54.0,14.81,Summer tires,1,1,0,Moderate,11.8,0,0,53.0,-5.0
43.0,7.74,Summer tires,1,0,1,Moderate,13.6,0,0,36.0,-3.2
122.0,3.89,Summer tires,1,0,1,Moderate,10.7,0,0,47.0,-6.1
17.0,9.9,Summer tires,1,1,1,Normal,14.7,1,0,38.0,-2.1
58.0,3.94,Summer tires,0,1,1,Normal,13.7,1,0,57.38461538461539,-3.1
41.0,14.15,Summer tires,0,0,1,Normal,13.96,0,0,55.4375,-2.84
103.0,9.28,Summer tires,0,1,0,Normal,12.8,0,0,40.0,-4.0
97.0,9.96,Summer tires,0,1,0,Normal,14.3,0,0,59.0,-2.5
117.0,20.09,Summer tires,0,1,0,Normal,14.6,0,0,55.0,-2.2
120.0,15.5,Summer tires,0,0,1,Normal,12.6,0,1,61.0,-4.2
71.0,10.94,Summer tires,0,1,0,Normal,13.9,0,0,78.0,-2.9
73.0,14.0,Summer tires,0,1,0,Normal,14.1,0,0,80.0,-2.7
81.0,9.3,Summer tires,0,1,0,Normal,11.9,1,0,76.0,-4.9
112.0,11.57,Summer tires,0,1,0,Normal,11.7,1,0,80.0,-5.1
104.0,14.52,Summer tires,0,1,1,Normal,12.1,1,0,73.0,-4.7
76.0,12.34,Summer tires,0,1,0,Normal,12.6,1,0,67.0,-4.2
75.0,7.72,Summer tires,0,1,1,Normal,12.9,1,0,55.0,-3.9
76.0,10.5,Winter tires,1,1,1,Normal,13.8,1,0,46.0,-3.0
4.0,0.6,Winter tires,1,0,0,Moderate,14.8,0,0,21.0,-2.0
3.0,0.4,Winter tires,1,0,0,Moderate,13.7,0,0,22.0,-3.1
4.0,0.6,Winter tires,1,0,0,Moderate,15.4,0,0,22.0,-1.4
20.0,3.6,Winter tires,1,1,1,Moderate,18.0,0,0,44.0,1.2
24.0,2.5,Winter tires,1,0,1,Moderate,10.5,0,0,42.0,-6.3
20.0,1.9,Winter tires,1,1,1,Moderate,9.3,0,0,48.0,-7.5
20.0,3.6,Winter tires,1,1,1,Moderate,18.0,0,0,43.0,1.2
4.0,0.6,Winter tires,1,0,0,Moderate,14.4,0,0,22.0,-2.4
4.0,0.6,Winter tires,1,0,0,Moderate,14.9,0,0,24.0,-1.9
27.0,2.4,Winter tires,1,0,1,Moderate,8.9,0,0,29.0,-7.9
20.0,3.7,Winter tires,1,1,1,Moderate,18.6,0,0,45.0,1.8
20.0,3.7,Winter tires,1,1,1,Moderate,18.5,0,0,44.0,1.7
20.0,1.8,Winter tires,1,1,1,Moderate,8.8,0,0,44.0,-8.0
37.0,3.6,Winter tires,1,0,1,Moderate,9.8,0,0,45.0,-7.0
2.0,0.4,Winter tires,1,0,0,Moderate,19.0,1,0,11.0,2.2
20.0,3.5,Winter tires,1,1,1,Moderate,17.7,0,0,48.0,0.9
20.0,1.6,Winter tires,1,1,1,Moderate,7.8,0,0,47.0,-9.0
20.0,3.4,Winter tires,1,1,1,Moderate,17.0,0,0,40.0,0.2
22.0,1.9,Winter tires,1,0,1,Moderate,8.6,0,0,41.0,-8.2
20.0,3.4,Winter tires,1,1,1,Moderate,17.0,0,0,43.0,0.2
84.0,11.3,Winter tires,1,0,1,Moderate,13.4,0,0,66.0,-3.4
41.0,5.5,Winter tires,1,0,1,Moderate,13.4,0,0,48.0,-3.4
89.0,11.6,Winter tires,1,0,1,Moderate,13.0,0,0,73.0,-3.8
27.0,3.3,Winter tires,1,0,1,Moderate,12.3,0,0,51.0,-4.5
24.0,1.9,Winter tires,1,0,1,Moderate,8.0,0,0,36.0,-8.8
20.0,3.4,Winter tires,1,1,1,Moderate,17.1,0,0,49.0,0.3
5.0,0.4,Winter tires,1,0,0,Moderate,8.1,0,0,24.0,-8.7
16.0,1.6,Winter tires,1,0,0,Moderate,10.0,0,0,35.0,-6.8
20.0,3.5,Winter tires,1,1,1,Moderate,17.5,0,0,45.0,0.7
20.0,3.5,Winter tires,1,1,1,Moderate,17.4,0,0,41.0,0.6
20.0,1.6,Winter tires,1,1,1,Moderate,8.0,0,0,45.0,-8.8
29.0,2.5,Winter tires,1,0,1,Moderate,8.7,0,0,37.0,-8.1
20.0,3.4,Winter tires,1,1,1,Moderate,16.9,0,0,49.0,0.1
20.0,1.5,Winter tires,1,1,1,Moderate,7.7,0,0,45.0,-9.1
20.0,3.4,Winter tires,1,1,1,Moderate,17.1,0,0,51.0,0.3
11.0,1.4,Winter tires,1,0,0,Moderate,12.3,0,0,33.0,-4.5
16.0,2.0,Winter tires,1,0,0,Moderate,12.8,0,0,30.0,-4.0
5.0,1.1,Winter tires,1,0,0,Moderate,22.5,0,0,26.0,5.7
90.0,12.4,Winter tires,1,0,1,Moderate,13.8,0,0,49.0,-3.0
20.0,1.7,Winter tires,1,1,1,Moderate,8.6,0,0,44.0,-8.2
20.0,3.5,Winter tires,1,1,1,Moderate,17.6,0,0,50.0,0.8
9.0,1.2,Winter tires,1,0,0,Moderate,13.5,0,0,22.0,-3.3
24.0,2.1,Winter tires,1,0,1,Moderate,8.6,0,0,26.0,-8.2
20.0,3.5,Winter tires,1,1,1,Moderate,17.6,0,0,49.0,0.8
20.0,3.7,Winter tires,1,1,1,Moderate,18.5,0,0,50.0,1.7
20.0,1.8,Winter tires,1,1,1,Moderate,9.0,0,0,49.0,-7.8
20.0,1.8,Winter tires,1,1,1,Moderate,9.2,0,0,47.0,-7.6
20.0,3.5,Winter tires,1,1,1,Moderate,17.4,0,0,50.0,0.6
3.0,0.5,Winter tires,1,0,0,Moderate,15.0,0,0,25.0,-1.8
6.0,0.7,Winter tires,1,0,0,Moderate,12.0,0,0,22.0,-4.8
5.0,0.7,Winter tires,1,0,0,Moderate,14.5,0,0,22.0,-2.3
15.0,1.9,Winter tires,1,0,0,Moderate,12.8,0,0,24.0,-4.0
20.0,1.8,Winter tires,1,1,1,Moderate,9.0,0,0,46.0,-7.8
20.0,3.5,Winter tires,1,1,1,Moderate,17.5,0,0,49.0,0.7
20.0,3.5,Winter tires,1,1,1,Moderate,17.4,0,0,50.0,0.6
20.0,1.6,Winter tires,1,1,1,Moderate,8.0,0,0,46.0,-8.8
24.0,2.0,Winter tires,1,0,1,Moderate,8.5,0,0,35.0,-8.3
20.0,3.6,Winter tires,1,1,1,Moderate,17.8,0,0,46.0,1.0
22.0,2.2,Winter tires,1,0,1,Moderate,10.0,0,0,32.0,-6.8
20.0,3.6,Winter tires,1,1,1,Moderate,18.1,0,0,51.0,1.3
20.0,1.6,Winter tires,1,1,1,Moderate,8.0,0,0,49.0,-8.8
20.0,3.3,Winter tires,1,1,1,Moderate,16.6,0,0,48.0,-0.2
173.0,20.8,Winter tires,0,1,0,Moderate,12.0,0,0,69.0,-4.8
9.0,1.1,Winter tires,1,0,0,Moderate,12.3,0,0,23.0,-4.5
192.0,21.5,Winter tires,0,1,0,Moderate,11.2,0,0,59.0,-5.6
20.0,3.3,Winter tires,1,1,1,Moderate,16.6,0,0,47.0,-0.2
20.0,1.6,Winter tires,1,1,1,Moderate,8.0,0,0,50.0,-8.8
20.0,3.3,Winter tires,1,1,1,Moderate,16.5,0,0,48.0,-0.3
20.0,1.4,Winter tires,1,1,1,Moderate,6.9,0,0,49.0,-9.9
20.0,3.3,Winter tires,1,1,1,Moderate,16.4,0,0,47.0,-0.4
20.0,3.3,Winter tires,1,1,1,Moderate,16.7,0,0,44.0,-0.1
2.0,0.3,Winter tires,1,0,0,Moderate,14.6,0,0,24.0,-2.2
21.0,1.4,Winter tires,1,0,1,Moderate,6.7,0,0,40.0,-10.1
24.0,1.7,Winter tires,1,0,1,Moderate,7.2,0,0,37.0,-9.6
20.0,3.2,Winter tires,1,1,1,Moderate,16.2,0,0,46.0,-0.6
8.0,1.1,Winter tires,1,0,0,Moderate,13.7,0,0,27.0,-3.1
7.0,0.6,Winter tires,1,0,0,Moderate,9.0,0,0,33.0,-7.8
20.0,1.4,Winter tires,1,1,1,Moderate,7.2,0,0,43.0,-9.6
20.0,3.4,Winter tires,1,1,1,Moderate,16.9,0,0,51.0,0.1
20.0,1.4,Winter tires,1,1,1,Moderate,7.2,0,0,42.0,-9.6
20.0,3.5,Winter tires,1,1,1,Moderate,17.4,0,0,48.0,0.6
24.0,1.9,Winter tires,1,0,1,Moderate,8.0,0,0,42.0,-8.8
20.0,3.6,Winter tires,1,1,1,Moderate,17.9,0,0,47.0,1.1
20.0,1.6,Winter tires,1,1,1,Moderate,8.1,0,0,37.0,-8.7
20.0,3.4,Winter tires,1,1,1,Moderate,17.1,0,0,46.0,0.3
20.0,1.7,Winter tires,1,1,1,Moderate,8.5,0,0,44.0,-8.3
20.0,3.7,Winter tires,1,1,1,Moderate,18.3,0,0,53.0,1.5
22.0,3.0,Winter tires,1,0,1,Moderate,13.8,0,0,50.0,-3.0
26.0,3.4,Winter tires,1,0,1,Moderate,13.1,0,0,39.0,-3.7
192.0,22.8,Winter tires,0,1,0,Moderate,11.9,0,0,69.0,-4.9
162.0,18.0,Winter tires,0,1,0,Moderate,11.1,0,0,79.0,-5.7
24.0,2.0,Winter tires,1,0,1,Moderate,8.4,0,0,37.0,-8.4
20.0,3.5,Winter tires,1,1,1,Moderate,17.6,0,0,49.0,0.8
19.0,1.4,Summer tires,1,1,1,Moderate,7.5,0,0,50.0,-9.3
20.0,3.4,Summer tires,1,1,1,Moderate,17.2,0,0,50.0,0.4
13.0,1.6,Summer tires,1,0,0,Moderate,12.4,0,0,23.0,-4.4
163.0,20.4,Summer tires,0,1,0,Moderate,12.5,0,0,66.0,-4.3
51.0,7.1,Summer tires,1,0,1,Moderate,14.0,0,0,40.0,-2.8
71.0,8.6,Summer tires,1,0,1,Moderate,12.1,0,0,51.0,-4.7
62.0,7.1,Summer tires,1,0,1,Moderate,11.4,0,0,62.0,-5.4
17.0,2.5,Summer tires,1,0,0,Moderate,14.9,0,0,44.0,-1.9
36.0,4.9,Summer tires,1,0,1,Moderate,13.5,0,0,56.0,-3.3
42.0,6.0,Summer tires,1,0,1,Moderate,14.4,0,0,21.0,-2.4
6.0,0.8,Summer tires,1,0,0,Moderate,13.6,0,0,31.0,-3.2
3.0,0.4,Summer tires,1,0,0,Moderate,12.3,0,0,23.0,-4.5
4.0,0.6,Summer tires,1,0,0,Moderate,14.1,0,0,20.0,-2.7
230.0,27.8,Summer tires,0,1,0,Moderate,12.1,0,0,69.0,-4.7
63.0,6.9,Summer tires,1,0,1,Moderate,11.0,0,0,40.0,-5.8
20.0,3.7,Summer tires,1,1,1,Moderate,18.4,0,0,42.0,1.6
19.0,1.6,Summer tires,1,1,1,Moderate,8.3,0,0,51.0,-8.5
19.0,3.4,Summer tires,1,1,1,Moderate,17.8,0,0,51.0,1.0
10.0,1.5,Summer tires,1,0,0,Moderate,14.9,0,0,13.0,-1.9
2.0,0.3,Summer tires,1,0,0,Moderate,15.9,0,0,19.0,-0.9
4.0,0.5,Summer tires,1,0,0,Moderate,11.6,0,0,24.0,-5.2
4.0,0.5,Summer tires,1,0,0,Moderate,12.2,0,0,25.0,-4.6
19.0,1.4,Summer tires,1,1,1,Moderate,7.5,0,0,50.0,-9.3
20.0,3.5,Summer tires,1,1,1,Moderate,17.7,0,0,51.0,0.9
24.0,2.1,Summer tires,1,0,1,Moderate,8.9,0,0,33.0,-7.9
20.0,3.5,Summer tires,1,1,1,Moderate,17.5,0,0,41.0,0.7
19.0,1.4,Summer tires,1,1,1,Moderate,7.4,0,0,41.0,-9.4
20.0,3.4,Summer tires,1,1,1,Moderate,16.8,0,0,47.0,0.0
19.0,1.3,Summer tires,1,1,1,Moderate,6.8,0,0,54.0,-10.0
20.0,3.5,Summer tires,1,1,1,Moderate,17.5,0,0,50.0,0.7
24.0,1.8,Summer tires,1,0,1,Moderate,7.3,0,0,34.0,-9.5
20.0,3.3,Summer tires,1,1,1,Moderate,16.6,0,0,47.0,-0.2
178.0,20.8,Summer tires,0,1,0,Moderate,11.7,0,0,61.0,-5.1
82.0,9.3,Summer tires,1,0,1,Moderate,11.3,0,0,73.0,-5.5
14.0,1.6,Summer tires,1,0,0,Moderate,11.4,0,0,58.0,-5.4
14.0,2.0,Summer tires,1,0,0,Moderate,14.4,0,0,61.0,-2.4
264.0,30.1,Summer tires,0,1,0,Moderate,11.4,0,0,68.0,-5.4
14.0,1.7,Summer tires,1,0,0,Moderate,12.4,0,0,61.0,-4.4
24.0,2.2,Summer tires,1,0,1,Moderate,9.0,0,0,25.0,-7.8
20.0,3.7,Summer tires,1,1,1,Moderate,18.4,0,0,42.0,1.6
4.0,0.7,Summer tires,1,0,0,Moderate,16.8,0,0,8.0,0.0
20.0,1.6,Summer tires,1,1,1,Moderate,8.1,0,0,31.0,-8.7
20.0,3.3,Summer tires,1,1,1,Moderate,16.7,0,0,46.0,-0.1
19.0,1.4,Summer tires,1,1,1,Moderate,7.6,0,0,49.0,-9.2
19.0,3.2,Summer tires,1,1,1,Moderate,16.8,0,0,46.0,0.0
13.0,1.5,Summer tires,1,0,0,Moderate,11.8,0,0,23.0,-5.0
77.0,9.3,Summer tires,1,0,1,Moderate,12.1,0,0,52.0,-4.7
19.0,2.3,Summer tires,1,1,1,Moderate,12.0,0,0,32.0,-4.8
13.0,1.4,Summer tires,1,0,0,Moderate,10.8,0,0,22.0,-6.0
19.0,1.0,Summer tires,1,1,1,Moderate,5.4,0,0,46.0,-11.4
19.0,3.1,Summer tires,1,1,1,Moderate,16.2,0,0,51.0,-0.6
311.0,33.0,Summer tires,0,1,0,Moderate,10.6,0,0,77.0,-6.2
294.0,30.3,Summer tires,0,1,0,Moderate,10.3,0,0,55.0,-6.5
13.0,1.5,Summer tires,1,0,0,Moderate,11.2,0,0,46.0,-5.6
43.0,4.4,Summer tires,1,0,1,Moderate,10.2,0,0,37.0,-6.6
28.0,3.4,Summer tires,1,0,1,Moderate,12.0,0,0,48.0,-4.8
6.0,0.6,Summer tires,1,0,0,Moderate,9.3,0,0,23.0,-7.5
19.0,2.9,Summer tires,1,1,1,Moderate,15.0,0,0,47.0,-1.8
19.0,1.8,Summer tires,1,1,1,Moderate,9.3,0,0,51.0,-7.5
20.0,2.5,Summer tires,1,1,1,Moderate,12.3,0,0,32.0,-4.5
4.0,0.2,Summer tires,1,0,0,Moderate,5.8,0,0,28.0,-11.0
21.0,2.6,Summer tires,1,0,1,Moderate,12.4,0,0,21.0,-4.4
56.0,5.4,Summer tires,1,0,1,Moderate,9.6,0,0,46.0,-7.2
58.0,5.7,Summer tires,1,0,1,Moderate,9.9,0,0,31.0,-6.9
345.0,38.3,Summer tires,0,1,0,Moderate,11.1,0,0,61.0,-5.7
8.0,0.6,Summer tires,1,0,0,Moderate,7.3,0,0,24.0,-9.5
323.0,35.5,Summer tires,0,1,0,Moderate,11.0,0,0,76.0,-5.8
2.0,0.3,Summer tires,1,0,0,Moderate,14.2,0,0,20.0,-2.6
25.0,2.1,Summer tires,1,0,1,Moderate,8.5,0,0,34.0,-8.3
20.0,3.4,Summer tires,1,1,1,Moderate,17.0,0,0,47.0,0.2
19.0,1.8,Summer tires,1,1,1,Moderate,9.7,0,0,45.0,-7.1
20.0,3.4,Summer tires,1,1,1,Moderate,17.1,0,0,51.0,0.3
356.0,45.2,Summer tires,0,1,0,Moderate,12.7,0,0,71.0,-4.1
3.0,0.4,Summer tires,1,0,0,Moderate,12.7,0,0,26.0,-4.1
5.0,0.5,Summer tires,1,0,0,Moderate,10.1,0,0,21.0,-6.7
272.0,29.9,Summer tires,0,1,0,Moderate,11.0,0,0,72.0,-5.8
19.0,1.3,Summer tires,1,1,1,Moderate,6.6,0,0,48.0,-10.2
19.0,3.0,Summer tires,1,1,1,Moderate,15.9,0,0,49.0,-0.9
22.0,1.3,Summer tires,1,0,1,Moderate,5.9,0,0,41.0,-10.9
19.0,3.1,Summer tires,1,1,1,Moderate,16.4,0,0,53.0,-0.4
19.0,1.3,Summer tires,1,1,1,Moderate,6.7,0,0,24.0,-10.1
19.0,3.1,Summer tires,1,1,1,Moderate,16.5,0,0,42.0,-0.3
20.0,1.2,Summer tires,1,1,1,Moderate,6.0,0,0,46.0,-10.8
19.0,3.1,Summer tires,1,1,1,Moderate,16.1,0,0,50.0,-0.7
19.0,3.1,Summer tires,1,1,1,Moderate,16.1,0,0,47.0,-0.7
22.0,1.6,Summer tires,1,0,1,Moderate,7.3,0,0,43.0,-9.5
20.0,1.2,Summer tires,1,1,1,Moderate,6.1,0,0,49.0,-10.7
19.0,2.9,Summer tires,1,1,1,Moderate,15.0,0,0,49.0,-1.8
22.0,1.6,Summer tires,1,0,1,Moderate,7.2,0,0,42.0,-9.6
19.0,3.0,Summer tires,1,1,1,Moderate,15.9,0,0,53.0,-0.9
20.0,1.4,Summer tires,1,1,1,Moderate,7.2,0,0,46.0,-9.6
22.0,3.3,Summer tires,1,0,1,Moderate,15.2,0,0,46.0,-1.6
21.0,1.4,Summer tires,1,0,1,Moderate,6.8,0,0,46.0,-10.0
16.0,1.7,Summer tires,1,0,0,Moderate,10.4,0,0,29.0,-6.4
19.0,3.1,Summer tires,1,1,1,Moderate,16.3,0,0,49.0,-0.5
